audio_path,relative_path,filename,authenticity,word_count,char_count,vowel_count,consonant_count,avg_word_length,has_cyrillic,has_latin
audio/001ce26c07c20eaa0d666b824c6c6924.wav,audio/001ce26c07c20eaa0d666b824c6c6924.wav,001ce26c07c20eaa0d666b824c6c6924.wav,real,6,33,8,13,5.5,1,0
audio/0021c3c46b7d0a2a50b7f6b0084c99a5.wav,audio/0021c3c46b7d0a2a50b7f6b0084c99a5.wav,0021c3c46b7d0a2a50b7f6b0084c99a5.wav,real,5,34,12,18,6.8,1,0
audio/002e64235abc88d64fb558324c681489.wav,audio/002e64235abc88d64fb558324c681489.wav,002e64235abc88d64fb558324c681489.wav,real,2,16,8,7,8.0,1,0
audio/0037c34dc43b019e2e1f715b18caa6fd.wav,audio/0037c34dc43b019e2e1f715b18caa6fd.wav,0037c34dc43b019e2e1f715b18caa6fd.wav,real,2,13,6,6,6.5,1,0
audio/0040e9bb1832795a3c57283477484a0c.wav,audio/0040e9bb1832795a3c57283477484a0c.wav,0040e9bb1832795a3c57283477484a0c.wav,real,3,13,4,6,4.333333333333333,1,0
audio/0040fcee5ea10479a55d623ec9265853.wav,audio/0040fcee5ea10479a55d623ec9265853.wav,0040fcee5ea10479a55d623ec9265853.wav,real,6,41,15,20,6.833333333333333,1,0
audio/0041c2def14898cfe152cbd92210bea4.wav,audio/0041c2def14898cfe152cbd92210bea4.wav,0041c2def14898cfe152cbd92210bea4.wav,real,6,41,18,18,6.833333333333333,1,0
audio/0043592661b915d774bc17e89fd695de.wav,audio/0043592661b915d774bc17e89fd695de.wav,0043592661b915d774bc17e89fd695de.wav,real,6,48,17,25,8.0,1,0
audio/004a82ebeebe58430f53e4da3cabd80b.wav,audio/004a82ebeebe58430f53e4da3cabd80b.wav,004a82ebeebe58430f53e4da3cabd80b.wav,real,6,44,18,21,7.333333333333333,1,1
audio/005df30cef6a78311f6f51113b359d19.wav,audio/005df30cef6a78311f6f51113b359d19.wav,005df30cef6a78311f6f51113b359d19.wav,real,3,24,9,13,8.0,1,0
audio/0069bc346588679a5fb89b60f80a3a66.wav,audio/0069bc346588679a5fb89b60f80a3a66.wav,0069bc346588679a5fb89b60f80a3a66.wav,real,2,8,3,4,4.0,1,1
audio/008d8a6d585b0454126dfff15250644e.wav,audio/008d8a6d585b0454126dfff15250644e.wav,008d8a6d585b0454126dfff15250644e.wav,real,6,28,8,11,4.666666666666667,1,0
